1302850,茼蒿,1186,蔬菜,1199,水菜,10.0,12.0,11.0,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302849,蒿子秆,1186,蔬菜,1199,水菜,6.0,6.5,6.25,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302848,水萝卜,1186,蔬菜,1199,水菜,3.0,3.5,3.25,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302847,樱桃萝卜,1186,蔬菜,1199,水菜,3.5,4.0,3.75,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302846,香芹,1186,蔬菜,1199,水菜,3.5,4.0,3.75,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302845,菠菜,1186,蔬菜,1199,水菜,4.0,4.5,4.25,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302844,苋菜,1186,蔬菜,1199,水菜,3.0,4.0,3.5,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302843,菊花菜,1186,蔬菜,1199,水菜,5.5,6.5,6.0,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302842,青蒜,1186,蔬菜,1199,水菜,2.5,3.0,2.75,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302841,盖菜,1186,蔬菜,1199,水菜,3.0,3.5,3.25,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302840,芥兰,1186,蔬菜,1199,水菜,2.5,3.0,2.75,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302839,菜心,1186,蔬菜,1199,水菜,3.5,4.0,3.75,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302838,空心菜,1186,蔬菜,1199,水菜,2.5,3.0,2.75,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302837,鸡毛菜,1186,蔬菜,1199,水菜,10.0,11.0,10.5,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302836,荆芥,1186,蔬菜,1199,水菜,4.0,4.5,4.25,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302835,紫苏叶,1186,蔬菜,1199,水菜,4.0,4.5,4.25,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302834,豌豆苗,1186,蔬菜,1199,水菜,4.5,5.5,5.0,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302833,快菜,1186,蔬菜,1199,水菜,2.5,3.0,2.75,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302832,苦菊,1186,蔬菜,1199,水菜,5.5,6.0,5.75,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302811,酥梨,1187,水果,,梨类,2.5,3.5,3.0,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302810,库尔勒香梨,1187,水果,,梨类,4.2,5.2,4.7,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302809,红香酥梨,1187,水果,,梨类,2.5,2.6,2.55,,7号,斤,2022-07-08 00:00:00,,138,,admin,,,
1302808,红啤梨,1187,水果,,梨类,5.0,6.0,5.5,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302807,夏橙,1187,水果,,柑橘类,3.0,5.0,4.0,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302806,沃柑,1187,水果,,柑橘类,4.0,6.0,5.0,,贵妃柑,斤,2022-07-08 00:00:00,,138,,admin,,,
1302805,油桃,1187,水果,,桃李杏类,2.0,5.0,3.5,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302804,蟠桃,1187,水果,,桃李杏类,3.0,5.0,4.0,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302803,水蜜桃,1187,水果,,桃李杏类,4.0,10.0,7.0,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302802,黄油桃,1187,水果,,桃李杏类,2.5,4.0,3.25,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302801,黄毛桃,1187,水果,,桃李杏类,5.0,10.0,7.5,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302800,突围,1187,水果,,桃李杏类,1.5,3.6,2.55,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302799,京红,1187,水果,,桃李杏类,2.0,4.0,3.0,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302798,李子,1187,水果,,桃李杏类,2.0,7.0,4.5,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302797,白杏,1187,水果,,桃李杏类,10.0,12.0,11.0,新疆,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302796,杏梅,1187,水果,,桃李杏类,2.5,5.0,3.75,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302795,胭脂红,1187,水果,,桃李杏类,2.5,5.0,3.75,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302794,串红,1187,水果,,桃李杏类,2.0,3.5,2.75,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302793,凯特白杏,1187,水果,,桃李杏类,1.5,3.0,2.25,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302792,无籽小号-大号,1187,水果,,西瓜类,1.3,1.5,1.4,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302891,小米椒,1186,蔬菜,,,9.0,11.0,10.0,琼,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302890,彩椒,1186,蔬菜,,,7.0,9.0,8.0,鲁冀,红\黄,斤,2022-07-08 00:00:00,,138,,admin,,,
1302889,白萝卜,1186,蔬菜,,,0.5,0.6,0.55,冀,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302888,心里美,1186,蔬菜,,,1.0,1.5,1.25,冀,泥\洗,斤,2022-07-08 00:00:00,,138,,admin,,,
1302887,卞萝卜,1186,蔬菜,,,0.8,1.0,0.9,冀,洗,斤,2022-07-08 00:00:00,,138,,admin,,,
1302886,青萝卜,1186,蔬菜,,,0.7,1.2,0.95,鲁,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302885,胡萝卜,1186,蔬菜,,,0.9,1.1,1.0,鲁,泥,斤,2022-07-08 00:00:00,,138,,admin,,,
1302884,胡萝卜,1186,蔬菜,,,0.8,1.1,0.95,鲁,洗,斤,2022-07-08 00:00:00,,138,,admin,,,
1302883,土豆,1186,蔬菜,,,1.0,1.4,1.2,鲁冀,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302882,葱头,1186,蔬菜,,,1.2,1.3,1.25,鲁冀,黄,斤,2022-07-08 00:00:00,,138,,admin,,,
1302881,葱头,1186,蔬菜,,,0.8,1.0,0.9,鲁冀,红,斤,2022-07-08 00:00:00,,138,,admin,,,
1302880,山药,1186,蔬菜,,,4.5,5.0,4.75,冀,脆\麻,斤,2022-07-08 00:00:00,,138,,admin,,,
1302879,山药,1186,蔬菜,,,7.0,8.5,7.75,豫冀,铁棍,斤,2022-07-08 00:00:00,,138,,admin,,,
1302878,莲藕,1186,蔬菜,,,5.0,6.5,5.75,桂云川,泥\洗,斤,2022-07-08 00:00:00,,138,,admin,,,
1302877,红薯,1186,蔬菜,,,2.0,2.5,2.25,冀,龙薯九,斤,2022-07-08 00:00:00,,138,,admin,,,
1302876,红薯,1186,蔬菜,,,2.4,2.8,2.6,粤琼,西瓜红\烟薯,斤,2022-07-08 00:00:00,,138,,admin,,,
1302875,紫薯,1186,蔬菜,,,2.6,4.0,3.3,,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302874,茭白,1186,蔬菜,,,2.8,3.0,2.9,浙,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302873,荸荠,1186,蔬菜,,,3.0,4.0,3.5,皖,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302872,芋头,1186,蔬菜,,,4.0,4.5,4.25,闽,,斤,2022-07-08 00:00:00,,138,,admin,,,
1302491,架豆,1186,蔬菜,,,3.0,4.0,3.5,鲁冀晋,,斤,2022-07-07 00:00:00,,138,,admin,,,
1302490,豆王,1186,蔬菜,,,4.5,6.5,5.5,辽冀甘,,斤,2022-07-07 00:00:00,,138,,admin,,,
1302489,扁豆,1186,蔬菜,,,2.0,4.0,3.0,鲁冀晋,,斤,2022-07-07 00:00:00,,138,,admin,,,
1302488,豇豆,1186,蔬菜,,,3.0,4.0,3.5,鲁冀,湿\干,斤,2022-07-07 00:00:00,,138,,admin,,,
1302487,白不老,1186,蔬菜,,,2.5,5.0,3.75,辽,,斤,2022-07-07 00:00:00,,138,,admin,,,
1302486,油豆,1186,蔬菜,,,7.0,8.0,7.5,辽冀,,斤,2022-07-07 00:00:00,,138,,admin,,,
1302485,毛豆,1186,蔬菜,,,2.6,3.2,2.9,苏云川,,斤,2022-07-07 00:00:00,,138,,admin,,,
1302484,玉米,1186,蔬菜,,,0.9,1.1,1.0,冀,黏\甜,斤,2022-07-07 00:00:00,,138,,admin,,,
1302483,花生,1186,蔬菜,,,5.0,6.0,5.5,苏粤,,斤,2022-07-07 00:00:00,,138,,admin,,,
